character_name,character_link
Dennis Markowski,https://breakingbad.fandom.com/wiki/Dennis_Markowski
Raymond Martinez,https://breakingbad.fandom.com/wiki/Raymond_Martinez
Matt (gang member),https://breakingbad.fandom.com/wiki/Matt_(gang_member)
Jack McGann,https://breakingbad.fandom.com/wiki/Jack_McGann
Jimmy McGill,https://breakingbad.fandom.com/wiki/Jimmy_McGill
George Merkert,https://breakingbad.fandom.com/wiki/George_Merkert
Miguel (Breaking Bad),https://breakingbad.fandom.com/wiki/Miguel_(Breaking_Bad)
Carmen Molina,https://breakingbad.fandom.com/wiki/Carmen_Molina
Mr. Molina,https://breakingbad.fandom.com/wiki/Mr._Molina
William Moniz,https://breakingbad.fandom.com/wiki/William_Moniz
Munn,https://breakingbad.fandom.com/wiki/Munn
Native American Man,https://breakingbad.fandom.com/wiki/Native_American_Man
Jodi Nichols,https://breakingbad.fandom.com/wiki/Jodi_Nichols
Nick (Gus' henchman),https://breakingbad.fandom.com/wiki/Nick_(Gus%27_henchman)
No-Doze,https://breakingbad.fandom.com/wiki/No-Doze
Nurse,https://breakingbad.fandom.com/wiki/Nurse
Old Crawler,https://breakingbad.fandom.com/wiki/Old_Crawler
Old Joe,https://breakingbad.fandom.com/wiki/Old_Joe
Olive Oil,https://breakingbad.fandom.com/wiki/Olive_Oil
Pamela Orbic,https://breakingbad.fandom.com/wiki/Pamela_Orbic
Mrs. Ortega,https://breakingbad.fandom.com/wiki/Mrs._Ortega
Van Oster,https://breakingbad.fandom.com/wiki/Van_Oster
Paco,https://breakingbad.fandom.com/wiki/Paco
Papadoumian,https://breakingbad.fandom.com/wiki/Papadoumian
Patrick,https://breakingbad.fandom.com/wiki/Patrick
Patty Lin,https://breakingbad.fandom.com/wiki/Patty_Lin
Dog Paulson,https://breakingbad.fandom.com/wiki/Dog_Paulson
Peng,https://breakingbad.fandom.com/wiki/Peng
Anthony Perez,https://breakingbad.fandom.com/wiki/Anthony_Perez
Skinny Pete,https://breakingbad.fandom.com/wiki/Skinny_Pete
Mrs. Peyketewa,https://breakingbad.fandom.com/wiki/Mrs._Peyketewa
James Picarus,https://breakingbad.fandom.com/wiki/James_Picarus
Mr. Pike,https://breakingbad.fandom.com/wiki/Mr._Pike
Adam Pinkman,https://breakingbad.fandom.com/wiki/Adam_Pinkman
Diane Pinkman,https://breakingbad.fandom.com/wiki/Diane_Pinkman
Jake Pinkman,https://breakingbad.fandom.com/wiki/Jake_Pinkman
Jesse Pinkman,https://breakingbad.fandom.com/wiki/Jesse_Pinkman
Poochy,https://breakingbad.fandom.com/wiki/Poochy
Mrs. Pope,https://breakingbad.fandom.com/wiki/Mrs._Pope
Preppy Shopper,https://breakingbad.fandom.com/wiki/Preppy_Shopper
Austin Ramey,https://breakingbad.fandom.com/wiki/Austin_Ramey
Renaldo,https://breakingbad.fandom.com/wiki/Renaldo
Ricky,https://breakingbad.fandom.com/wiki/Ricky
Rival Dealers,https://breakingbad.fandom.com/wiki/Rival_Dealers
Tim Roberts,https://breakingbad.fandom.com/wiki/Tim_Roberts
Kiira Rodarte-Quayle,https://breakingbad.fandom.com/wiki/Kiira_Rodarte-Quayle
Lydia Rodarte-Quayle,https://breakingbad.fandom.com/wiki/Lydia_Rodarte-Quayle
Charlie Rose,https://breakingbad.fandom.com/wiki/Charlie_Rose
Russell,https://breakingbad.fandom.com/wiki/Russell
Sad Faced Girl,https://breakingbad.fandom.com/wiki/Sad_Faced_Girl
Hector Salamanca,https://breakingbad.fandom.com/wiki/Hector_Salamanca
Joaquin Salamanca,https://breakingbad.fandom.com/wiki/Joaquin_Salamanca
The Cousins,https://breakingbad.fandom.com/wiki/The_Cousins
Tuco Salamanca,https://breakingbad.fandom.com/wiki/Tuco_Salamanca
